FUNCTION NAME,DESCRIPTION,INPUT,OUTPUT,EXAMPLE,NOTES
AT_altazPos,Altitude and azimuth position of a celestial body viewed from earth,"cjd: TREF time scale - Modified (1950.0) Julian day, 
loc: Row vector of local elliptical (geodetic) coordinates, [longitude; latitude; altitude] in [deg;deg;m], 
bname: Name of the celestial body (string, see below)
Available bodies are: ""Mercury"", ""Venus"", ""Earth-Moon-bary"" (or ""EMB""), ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"", ""Pluto"", ""Moon"", ""Sun"", ""Earth"", ""solar-sys-bary"" (or ""SSB"")","alt: Position in altitude (elevation) [deg]
az: Position in azimuth [deg]","alt,az]=AT_altazPos(CL_dat_cal2cjd(2008,10,25,15,30,0), [6.9;51.1;30],""Mars"")","Calculates the altitude and azimuth in degrees of a celestial body (planet of the solar system) using JPL's DE405 ephemerides viewed from topocentric position on earth. azimuth: 0deg is north, 90deg is east, 180deg is west, 270deg is west,  altitude: Angle in degree above horizon. Src: http://www.bernd.ragutt.de/himmelsmechanik/sonnemondplaneten/"
AT_aperture,Needed aperture to reach given angular resolution of an optic (telescope),res:  resolution in degree,"ap_r: aperture for red light (lambda=656nm) in m, 
ap_g: aperture for green light (lambda=555nm) in m, 
ap_b: aperture of blue light (lambda=400nm) in m","[red, green, blue] = AT_aperture(1/3600) // aperture for 1"" resolution","Calculates the needed aperture of an telescope to reach a given resolution in degree  for three wave length (red=656nm, green=555nm, blue=400nm) in m. The results are valid for an perfect optic and sky. Getting a more realistic result by multiply the results with 1.22. "
AT_apparentSize,Calculates the visual angle (angle of sight) or apparent size of an observed object in the distance,"obj_size: Real size of the object in the distant in m, 
dist:     Distance from the observer to the object in m","pp_size: Apparent size, visual angle or parallax in deg","AT_astroconst(); 
AppSize = AT_visualAngle(%moon.r*2, %moon.dist) // Apparent size of the moon","Calculates the visual angle (angle of sight) or apparent size of an observed object in the distance. 
The moon has a distance of 400,000km and a size of 3,500km. The apparent size is 0.5deg."
AT_atmosphAdsorbCoeff,Atmospheric adsorption coefficient,"dist  : Visual distance in m
",sigma:  Atmospheric adsorption coefficient in m**(-1),AT_atmosphAdsorbCoeff(10.3),
AT_centrifugal,Centrifugal force from track or angular speed,"m: Mass of the object in kg, 
r: Radius in m, 
v: Track speed in m/s (as key=value), 
o: Angular speed in deg/s (as key=value)
(just one of the latter)",F: Centrifugal force in N,"AT_astroconst(); 
F_cent = AT_centrifugal(80, %earth.r, v=463) // Centrifugal force at earth's equator (track speed used); 
F_cent = AT_centrifugal(80, %earth.r, o=0.00417) // Centrifugal force at earth's equator (angular speed used)",Calculates the centrifugal force for an given track OR angular speed. (Make use of key=value parameter commitment)
AT_checkAstroconst,Checks if AT_astroconst() was executed to provide constants,none,Displays error message if function AT_astroconst() was not executed for providing constants,AT_checkAstroconst(),
AT_checkCelestlab,Checks if Toolbox Celestlab is installed and loaded,none,Displays error message if toolbox CelestLab is not present,AT_checkCelestlab(),Check if Toolbox Celestlab was loaded. If not a error message is displayed and terminates the script or function.
AT_circArcLength,Calculates the circular arc length of an appropriate tangent,"tanLen:   Length of the tangent in m
r:        Radius of the sphere in m (OPTIONAL), if not committed r:=earth's mean radius","arcLen:   Length of the circular arc ""under"" the tangent","[arclen] = AT_circArcLength(10000)
[arclen] = AT_circArcLength(10000, %moon.r)","Its main purpose is to determine the difference of a distance on a plane in comparison to a sphere (earth). Means, a 1000m straight distance on a plane is equal to 999.99999m on a sphere (circular arc)"
AT_circumEllipse,Circumference of an ellipse (Ramanujan approximation),"aph: apogee in m (distance to the greatest point in an elliptical orbit)
Per: perigee in m (distance to the least point in an elliptical orbit)",U:   circumference of ellipse in m,"[U]=AT_circumEllipse(%earth.aph, %earth.per)",Calculate the circumference of an ellipse (elliptical orbit) by passing the distances of the least and the greatest points in the orbit corresponding to Ramanujan approximation.  https://www.mathematik.ch/anwendungenmath/ellipsenumfang/
AT_circumLat,Calculates the circumference of a sphere at a certain latitude,"lat: latitude in degrees
r:   Radius of the sphere, e.g radius of the earth (OPTIONAL), when r is not committed r = mean radius of the earth","U:   Circumference of the sphere with the radius ""r"" at latitude ""lat""","U = AT_circumLat(52.5) // Circumference of the earth at Berlin, Germany
U = AT_circumLat(52.5, %earth.r) // the same as above",Calculate the circumference of a sphere at a certain latitude. E.g. to get the circumference of the earth at your home town to calculate the local orbital speed
